label,modularity_class
ABC,3
Lengkong,3
AHNasution,3
Cicadas,3
KopoSayati,3
StasiunKABandung,4
Suci,2
Supratman,3
Alunalun,1
BragaCityWalk,1
Ambon,1
CarefourKiaracondong,1
PVJ,0
AsiaAfrika,1
KebonJati,1
Naripan,1
RSHS,1
Tamansari,1
BabakanCiparay,1
Cibadak,1
BandaraHusein,1
Sukamiskin,1
Batununggal,1
BEC,2
BTC,0
DagoBawah,2
Bikasoga,5
Martadinata,3
BIP,3
Braga,3
Cipaganti,4
DagoTengah,4
Djunjunan,0
GerlongHilir,1
JendralSudirman,3
Viaduct,1
Cicendo,1
Cimindi,0
IstanaPlaza,0
LuarBdg,0
BuahBatu,1
Burangrang,4
Laswi,4
Cigondewah,1
PasirKoja,1
LingkarSelatan,3
SuryaSumantri,0
Cicaheum,0
CihampelasAtas,2
Cihampelasbawah,3
Ciwalk,2
DagoAtas,2
LebakSiliwangi,2
Pungkur,0
SetiabudiSelatan,2
GTBuahBatu,0
Cijerah,0
CIkutraBarat,4
Surapati,4
CikutraTimur,0
Cimahi,0
Cisaranten,3
Cisitu,3
Citarum,4
Ciumbeuleuit,2
DipatiUkur,2
SersanBajuri,2
Cipagantibawah,0
Katamso,3
Leuwipanjang,6
DewiSartika,3
Peta,5
Elang,0
MochTohaAtas,0
RajawaliTimur,4
GatotSubroto,7
ITB,4
TSM,7
Gedungsate,3
GTKopo,0
HOSCokro,2
Pajajaran,0
Ciwaruga,4
Jakarta,1
JalanAceh,6
LapangTegaLega,6
Sunda,6
Jatihandap,3
Jawa,1
Sederhana,0
MikoMall,1
Panyileukan,1
PasarBaru,1
Samsat,1
SetiabudiUtara,7
KiaraCondong,3
Pindad,7
Kings,1
Pasirluyu,3
Kosambi,0
GTPasteur,6
PHMustopha,2
Lembong,2
LotteMartSoe-Hatt,3
Margahayuraya,3
Setrasari,0
Sukajadi,2
Malabar,1
OtoIskandarDinata,3
Pahlawan,0
Sukarasa,7
PasirImpun,4
Karapitan,5
Hegarmanah,0
Sarijadi,0
TerusanJakarta,3
Holis,4
Rancabali,0
RayaKopo,4
RayaResort,3
RiungBandung,8
Turangga,8
SadangSerang,6
Sidomukti,4
Cibaduyut,4
PajajaranWayang,4
TolPasteur,4
StasiunKAKircon,1
Pagarsih,2
Sumatra,4
TerminalLeuwipanjang,0
Cibiru,0
TerusanBuahBatu,5
MetroIndahMall,5
Gedebage,7
BKR,8
UjungBerung,3
Unpad,2
CukangKawung,1